efield (kV/cm),t_ul (ps),z (A),g (cm/kA),fom* (eV ps A^2),Ediff (meV)
10.0,2.3743165815816063,32.79719942087537,82.33285059417376,65.77189558516228,94.46466446279264
20.0,4.347451250205495,-24.581682673006306,72.70431331374014,108.76511425515076,174.6715051082205
30.0,4.2556434381098684,-23.252886763233928,70.50477102825154,107.36039043540244,177.75051695817058
40.0,0.8700838599606329,-52.25844317673789,74.55716488713713,40.95032604951857,66.42786464599777
50.0,24.242883349053532,-9.324855482500231,125.89148248402608,61.532444702434,60.01970873302285
60.0,8.510822050217993,14.319645094137588,101.44633385906168,80.90408409455927,94.31081805370212
70.0,23.49156563125714,8.580220326294937,102.05171867080072,99.7931674199981,114.98868776203167
80.0,30.174355241904035,7.580934988408806,99.69002294500407,116.13498480845364,136.52893365956987
90.0,3.46511168866746,-23.29128668363727,122.9687398417403,119.39675837353988,114.19353809977795
100.0,3.3335167933752436,-24.36852189750384,125.0328360768044,128.8669465538833,121.06193200706976
110.0,1.6203534727495867,-36.911359208290094,52.82025426020417,23.82206686943644,56.2886164027446
120.0,3.742166746305144,-26.61388097558206,88.53551113076698,97.0521422246712,128.60657870525205
130.0,5.102642329407503,-24.931201961538356,68.04922095128572,73.03785671323688,125.97105257263
140.0,6.025796719842553,-21.641711948537264,40.988738485949575,43.63199249455143,124.95527642709705
150.0,1.32400521299745,-25.537933926405092,31.086671543464252,20.914681793716333,80.14758657120234
10.0,6.165584578192908,25.01200203133652,67.85915915307707,64.91848320837634,111.45571793797514
20.0,3.6175299673571097,-41.71278622159747,99.50947712443,45.73288836404183,56.67036362238096
30.0,5.793920860588912,23.790619641111732,55.56428546850852,39.97435045935136,84.60993410619743
40.0,2.119888738124417,-41.39426580926096,103.85605491728693,43.39909130803496,53.08276534704463
50.0,5.7237412127656615,19.044704270470685,28.588486580598712,47.55135503854658,192.0113533048616
60.0,2.9727468217485944,-23.4917410497406,83.66147828276495,57.06383326837575,80.42963125883053
70.0,30.073014333431058,6.060200717384517,63.910887206020696,65.40097660095961,119.04242268770544
80.0,2.2924086663213883,-24.330208796759315,96.89080343748556,82.74192560833737,99.7937037689748
90.0,2.3884178598372703,-23.737297354376697,91.45902913326046,83.60204790697706,106.6162388249565
100.0,14.058916186225131,18.92193928773905,29.95989279613729,34.439934994448926,133.430951384553
110.0,2.457830476848459,-25.0725447149898,91.22499484729596,92.18077551682714,117.58030895928503
120.0,2.7368385522617817,-24.18652738441247,71.28684701461813,74.61876823504312,121.71104531665227
130.0,3.22058786358492,-21.89737160670261,35.139495130053355,38.06466659985948,125.87160415326912
140.0,1.6641222017833197,-23.25812992662193,49.21024566319819,31.06764982767363,74.78873795299631
150.0,2.0163279606929803,-21.44765824088292,55.03128669251963,38.236605791106655,81.85285016164956
10.0,2.0899588563984746,33.317846614074284,73.37175639649485,52.62355071496014,85.14988444245859
20.0,3.97923455439128,-24.625338948552052,71.25679750086971,109.05485848575528,178.5965637173259
30.0,3.684383590744853,-24.238612368159465,76.13916715750895,116.86703027021991,179.11033058553414
40.0,1.2157342025387954,46.093543662720975,86.02842434737545,38.94699741419983,56.42789865985301
50.0,0.8266089282915717,-56.47862748798185,82.21272292018797,42.505126103739755,62.94675832740172
60.0,21.663177404203097,7.379540674772017,87.00860304248278,71.25258972404906,96.73251519083888
70.0,29.485200481225515,6.446851045223617,81.70706782772194,81.7152530015169,117.517032283415
80.0,3.6084504205037926,-20.50014459833984,111.57914448443935,88.15983580726628,93.44296253524864
90.0,3.741505271283904,-20.740216004446683,118.75667772326504,102.771492732007,102.051667632998
100.0,28.6639565351326,23.4214564410432,34.72549761327112,37.02026550824016,125.10916013745629
110.0,4.207184136789103,-23.88367672573649,137.53993370218518,136.22764961192397,116.4083751482368
120.0,4.395293877693724,-24.8159741703234,96.94636584530453,99.8391138890405,120.93786718305248
130.0,6.774452244479673,-22.39622081692113,51.74575819861562,51.91534001950199,117.88240505020748
140.0,7.1960319065389005,-19.632905610207807,25.736968768013373,25.86160698596425,118.06245873169688
150.0,8.400161258524767,-18.155338382428383,28.083460965969728,23.637288186463103,99.33625909584624
10.0,3.264448704789668,30.33308704967125,85.86357774749699,74.96849130148294,104.00482014168124
20.0,5.11364309017531,-22.493299203465252,55.061537001667176,85.45248113632563,182.9711205745614
30.0,4.871496128013682,-21.791732401608417,64.74575212239873,101.33343094691809,184.49996084905783
40.0,2.561423368873545,-31.56977894227489,68.12822931693711,38.267519181019615,68.4278796637151
50.0,25.634168416235728,-9.22897728555567,106.15390132110036,51.84468747624387,60.51050450773348
60.0,6.14883890685646,-17.778342251992193,109.3797633271595,76.08199223222313,83.54316993435623
70.0,3.678140531028169,-21.915273114473266,110.7100610448025,89.61753816318985,96.64348541922094
80.0,3.0516899056074966,-22.74649296821185,105.7477816481562,94.87495474099522,106.7944761971852
90.0,4.281071652388071,-19.650325957827235,76.66408868959304,73.31643591840455,113.6589549687034
100.0,14.70416364637732,-28.10367208707604,108.00535873032192,119.5372030649195,131.1530890210833
110.0,2.794903153121685,-24.91097693351293,99.86173287353355,105.38236237830336,125.1615353863092
120.0,3.1538576612449716,-25.76393641121013,70.37225923025278,75.82956824743184,127.75223839344252
130.0,4.571231049959579,-24.92084229711724,68.03972431354339,71.88918940783937,125.31207424506192
140.0,5.614108773486287,-20.4071852208644,29.42489450687869,31.454080668540488,126.75299282923902
150.0,7.6834383272109985,-19.703313328347846,34.09952797626169,31.891676576835128,111.2112988737798
10.0,3.3161353216177565,27.68295033172461,67.22205199205536,55.09093843738388,92.0758348046072
20.0,5.346245464115516,-22.94155837760605,62.15674701513621,102.99724400111208,183.5128438651538
30.0,5.299897323151045,17.741226305533665,23.33226215037601,40.90804092606441,194.01420395398625
40.0,5.029103215698076,16.094827441556664,64.11996131503598,42.81951117979585,75.78265676497367
50.0,8.34489908651613,-14.806881094662137,76.71299526365131,50.316174515849504,74.5206443225504
60.0,30.831425480158146,5.979377482131432,53.56988986815001,54.703130546642846,113.99978752584404
70.0,27.90120325512525,6.65726886418619,85.82762365611015,102.79334193593084,133.2841667133163
80.0,3.7131978799031935,-19.345675669147237,104.0091056000974,101.55198399890917,109.11701263053769
90.0,3.654023047556337,-19.880616557864247,103.23636693008996,107.90977069123664,116.63133332903912
100.0,6.653575765230391,-14.424963229064614,25.92466610252753,48.92296327331968,208.59778547157745
