efield (kV/cm),t_ul (ps),z (A),g (cm/kA),fom* (eV ps A^2),Ediff (meV)
10.0,2.3743165815816063,32.79719942087537,82.33285059417376,65.77189558516228,94.46466446279264
20.0,4.347451250205495,-24.581682673006306,72.70431331374014,108.76511425515076,174.6715051082205
30.0,4.2556434381098684,-23.252886763233928,70.50477102825154,107.36039043540244,177.75051695817058
40.0,0.8700838599606329,-52.25844317673789,74.55716488713713,40.95032604951857,66.42786464599777
50.0,24.242883349053532,-9.324855482500231,125.89148248402608,61.532444702434,60.01970873302285
20.0,3.6175299673571097,-41.71278622159747,99.50947712443,45.73288836404183,56.67036362238096
40.0,2.119888738124417,-41.39426580926096,103.85605491728693,43.39909130803496,53.08276534704463
10.0,2.0899588563984746,33.317846614074284,73.37175639649485,52.62355071496014,85.14988444245859
20.0,3.97923455439128,-24.625338948552052,71.25679750086971,109.05485848575528,178.5965637173259
30.0,3.684383590744853,-24.238612368159465,76.13916715750895,116.86703027021991,179.11033058553414
50.0,0.8266089282915717,-56.47862748798185,82.21272292018797,42.505126103739755,62.94675832740172
10.0,3.264448704789668,30.33308704967125,85.86357774749699,74.96849130148294,104.00482014168124
50.0,8.34489908651613,-14.806881094662137,76.71299526365131,50.316174515849504,74.5206443225504
10.0,2.3678252300752467,32.00622391432775,75.0823148868245,53.734906371484655,82.97222110928719
20.0,1.9145773046166443,-33.72857104679477,73.29920286243986,44.915504657450285,71.73106038781471
10.0,3.12436185869252,30.102596584072018,78.91893047060992,64.33665457825447,94.87640165623888
20.0,4.507068735142472,-24.24879448594796,74.67534900666116,114.5899989743617,176.32260787352524
40.0,3.883822044945176,22.70943345882915,70.11031965754306,46.60470007174819,78.07741848919082
10.0,2.6679379251700284,30.38861334393698,72.45739413995095,55.240673821638616,88.09043319135685
50.0,0.8946208701660829,-53.42750771561842,100.5586739254866,53.89956799186163,63.547855512506075
10.0,2.004023453802803,-34.060032348756444,74.97818122902909,54.61905904613732,85.88267016388227
20.0,1.6996768434961096,-35.3245258713397,76.629848071258,49.45815366488696,76.57357704656553
30.0,4.056082233595857,-24.442055163290515,75.57043866893326,112.5779045065605,172.77743808518775
40.0,1.0933018824129412,-48.39498111623894,84.56562968809455,49.56565277919323,70.02221119489215
50.0,7.7950141064630785,13.828944711200366,87.84836991979242,46.23207084002266,63.56597906562126
10.0,2.424736782088661,33.629642091914846,85.842095326685,66.0650373376595,89.9833116738662
30.0,4.201268820343125,-23.881651249711968,73.21720827636246,113.52822756317906,178.61571807663674
10.0,3.693886473070634,28.446980097000186,73.426090730019,58.335761398610536,91.55921253217709
50.0,9.510191748551469,11.34010032810673,74.35824172302947,50.58267218883045,78.9530240525492
10.0,4.100572965754331,27.74590903473644,76.43216561144803,70.24737439331753,107.26074185478448
20.0,3.247843867358578,-48.36713467696725,118.41829851855582,50.26280300070407,53.66149235127314
30.0,3.5455457752343347,28.26722963749273,70.75449521066119,50.20481382369616,83.56925450955374
50.0,18.050228057303904,-10.554010450509647,109.443637758878,57.39127229114578,63.25930703695786
40.0,1.0169423573406458,-49.40870061989137,100.7386827105618,56.257987482109954,66.5993509105667
40.0,18.73868600126941,-8.663447405478074,101.02698334694924,43.86862025780306,54.20876263038443
10.0,3.440951805233451,29.816678049064468,77.07780502224759,65.12855386230997,97.194900400303
50.0,6.23386111261566,-17.866409224538398,98.07807089896228,57.451475658361474,68.73259724653997
10.0,3.261155472056505,28.733907435230456,71.50655171036945,57.126425865011655,90.12719242803892
40.0,23.601753287539864,-7.979140999448633,89.54704953844644,51.09691854762146,65.80729152334361
10.0,3.530042400523932,28.967445100384264,74.98872145609624,64.8338429674254,97.86234839930044
30.0,2.5864359433790707,31.210751680958985,71.79753538407809,46.445475716972105,74.22710698920032
50.0,3.3508023620544645,-22.68208013129011,88.60972281117641,57.53833255425008,74.48900956240198
10.0,3.40445405766126,29.18819009108123,73.28350549067503,60.390223686328106,92.58792456276656
50.0,0.9250820411312196,-51.98701112143639,106.1564787545245,61.09916893348333,66.14086905046882
10.0,1.979135897062157,34.34907062867507,72.68309061563345,49.15121637173036,78.51313906257936
40.0,1.1070144868530076,-54.93633902294,109.90635183100407,58.69955582711285,63.268787770134495
10.0,2.716074480086081,33.18736166297908,86.05853259472404,65.75423108413769,89.53915642324137
20.0,4.118685387194777,-24.656114021383004,71.84891642167743,107.02088213664256,172.05893359716217
30.0,1.7191510375270167,-36.81309805256927,88.2814850708067,50.11885273926934,67.74285119329001
40.0,5.123738383487663,-43.85000319269506,107.65396245866964,50.608611520850445,57.58845707191246
10.0,3.548128740205174,29.78803264862525,78.51958443236019,63.33113674739466,93.50501924037808
30.0,2.2255164038905275,-32.778977050312605,71.29616835891856,42.143965735751664,69.71230806453501
40.0,1.3660886486554542,-48.33025505045436,95.62137666109196,60.30386351373356,74.00754229930253
50.0,1.1795722254470349,-49.08602860480441,109.55215849764735,65.3570929894169,70.30348495483909
10.0,2.291173934603934,30.73696170002583,71.50204329904031,57.34693849725886,93.67728248497816
40.0,1.9339734508770643,-50.71388891604227,119.9959729059474,59.38024462464946,60.03037338843298
10.0,3.446057037412894,30.825475922713785,84.07990250431604,64.53715924098606,90.52702940553696
50.0,1.1412306870531632,-53.39369584350115,123.40398964758606,70.20686006192297,68.3384214047353
10.0,1.734480871194739,36.201978232024864,73.75626438473674,49.09619270176609,78.13751019488409
20.0,4.443250059910585,-24.863829290792,77.37836880651389,115.5360423205228,171.55575546163968
50.0,4.359656934250942,-24.796754966887153,72.76984763817289,105.97334950333764,167.3805697562552
50.0,3.757329040538079,-20.896305428571967,83.36064239477345,47.87905319327052,66.76597432433252
10.0,3.487050365458032,-29.487030733252983,76.68421544963596,61.74366499667011,95.50346835490772
20.0,1.2656657234378077,-41.34906091515831,74.47630651234441,47.20421929643348,76.01525945101301
10.0,2.7769906680516177,30.942028534204308,81.60403770280489,72.0093309612628,103.04558223179824
40.0,1.087488986451333,-51.12154430856822,92.96406515956194,42.723869868874466,56.691956564252536
10.0,3.68622789779197,29.087165419719273,76.4963526506678,66.97799644620684,99.361179958988
40.0,4.508334881397147,-24.986859719794776,76.22012013589894,116.40891861776012,171.4629196170102
50.0,1.4093076423670032,-45.23513473443711,98.19912719082488,57.09000717980645,67.47972654942724
10.0,3.497078682453873,29.815371742452307,76.2408863761302,59.89406138845587,91.48059121057192
